,city name,country,date,lon,lat,max temp,humidity,cloudiness,wind speed
213,Puerto Escondido,MX,1590273234,-97.07,15.85,86.0,70,20,8.05
214,Tingi,TZ,1590273234,35.03,-11.3,56.37,87,3,3.69
215,Urengoy,RU,1590273234,78.37,65.97,55.2,80,100,7.43
216,Posse,BR,1590273234,-46.37,-14.09,70.93,82,50,3.67
217,Airai,TL,1590273234,125.41,-8.93,61.86,100,95,3.74
218,Victor Harbor,AU,1590273234,138.62,-35.57,55.99,73,73,3.0
219,Tshikapa,CD,1590273234,20.8,-6.42,75.88,62,59,1.59
220,Smolenka,RU,1590273234,113.5,52.14,48.2,31,70,6.71
221,Tuatapere,NZ,1590273234,167.68,-46.13,50.31,88,100,1.21
222,Sayyan,YE,1590273234,44.32,15.17,61.16,63,23,1.39
223,São João del Rei,BR,1590273234,-44.26,-21.14,68.0,77,20,6.93
224,Nouadhibou,MR,1590273235,-17.03,20.93,68.0,88,75,17.22
225,Ostrovnoy,RU,1590273235,39.51,68.05,37.11,79,81,18.52
226,Kalmunai,LK,1590273235,81.82,7.42,81.86,80,100,2.37
227,Cockburn Town,TC,1590273235,-71.14,21.46,80.76,85,100,17.05
228,Labuhan,ID,1590273235,112.21,-6.88,78.44,84,0,6.53
229,Tagburos,PH,1590273235,118.73,9.83,80.6,83,75,4.7
230,Luau,AO,1590273235,22.22,-10.71,61.93,61,0,5.55
231,Deder,ET,1590273235,41.45,9.32,59.86,78,68,3.4
232,Coahuayana Viejo,MX,1590273235,-103.68,18.73,82.4,61,40,17.22
233,Pelotas,BR,1590273228,-52.34,-31.77,60.01,99,100,5.99
234,Makakilo City,US,1590273235,-158.09,21.35,84.2,62,1,9.17
235,Katsuura,JP,1590273235,140.3,35.13,66.2,93,40,4.7
236,Buala,SB,1590273235,159.59,-8.14,85.33,67,76,2.1
237,Upernavik,GL,1590273235,-56.15,72.79,29.66,97,23,14.81
238,Saint-Joseph,RE,1590273235,55.62,-21.37,66.2,72,75,6.93
239,Kavaratti,IN,1590273235,72.64,10.57,84.58,76,41,12.17
240,Huarmey,PE,1590273235,-78.15,-10.07,67.66,77,71,7.83
241,Isangel,VU,1590273235,169.27,-19.55,77.0,69,6,2.24
242,Nouakchott,MR,1590273235,-15.98,18.09,64.4,93,40,18.34
243,Sattenapalle,IN,1590273235,80.18,16.4,82.67,85,85,8.57
244,Kohtla-Järve,EE,1590273235,27.27,59.4,43.41,64,83,10.29
245,Mwense,ZM,1590273235,28.7,-10.38,64.53,65,0,6.62
246,Fortuna,US,1590273235,-124.16,40.6,62.01,67,20,17.22
247,Yellowknife,CA,1590273006,-114.35,62.46,46.4,49,75,16.11
248,Faya,SA,1590273235,42.45,18.39,68.0,59,20,1.5
249,Meulaboh,ID,1590273236,96.13,4.14,77.79,88,100,4.25
250,Les Cayes,HT,1590273236,-73.75,18.2,81.79,79,97,6.67
251,Yangi Marg`ilon,UZ,1590273236,71.72,40.43,75.2,36,0,2.24
252,Ikorodu,NG,1590273236,3.5,6.62,80.6,88,20,2.24
253,Berlevåg,NO,1590273236,29.09,70.86,45.03,70,61,23.67
254,Dawlatabad,AF,1590273236,64.91,36.41,75.65,23,0,0.43
255,Catuday,PH,1590273236,119.81,16.29,82.24,79,99,7.99
256,Clyde River,CA,1590273236,-68.59,70.47,28.4,86,90,6.93
257,Aktobe,KZ,1590273080,57.21,50.28,68.0,45,90,13.42
258,Changtu,CN,1590273236,124.1,42.78,57.6,86,50,4.65
259,Omsukchan,RU,1590273236,155.8,62.53,36.55,78,41,2.28
260,Talnakh,RU,1590273236,88.4,69.49,51.8,87,75,8.95
261,Kupang,ID,1590273236,123.58,-10.17,77.0,83,40,11.41
262,Richards Bay,ZA,1590273236,32.04,-28.78,62.87,79,0,3.36
263,Payo,ID,1590273236,103.64,-3.75,71.76,89,28,1.77
264,San Matías,BO,1590273236,-58.4,-16.37,58.6,64,99,4.68
265,Skegness,GB,1590273236,0.34,53.14,57.2,58,67,16.11
266,Itarema,BR,1590273236,-39.92,-2.92,77.85,90,96,7.83
267,Maningrida,AU,1590273236,134.27,-12.07,67.95,57,83,15.82
268,Shache,CN,1590273236,77.24,38.42,67.01,26,14,4.09
269,San Patricio,MX,1590273237,-104.7,19.22,82.4,78,20,17.22
270,Darhan,MN,1590273237,105.92,49.49,55.38,51,82,3.65
271,Tromsø,NO,1590273237,18.96,69.65,46.4,77,78,23.04
272,Wuda,CN,1590273237,106.71,39.5,57.49,37,100,9.22
273,Yumen,CN,1590273237,97.2,40.28,60.3,31,2,9.71
274,Palmer,US,1590273117,-72.33,42.16,68.0,67,75,14.99
275,Sibu,MY,1590273237,111.82,2.3,73.4,94,75,2.24
276,Port Hedland,AU,1590273237,118.57,-20.32,60.8,41,29,14.99
277,Krasnosel'kup,RU,1590273237,82.47,65.7,58.6,61,87,12.66
278,Menongue,AO,1590273237,17.69,-14.66,54.72,55,0,3.74
279,Saltillo,MX,1590273119,-101.0,25.42,75.2,47,40,11.86
280,Maltahöhe,NA,1590273237,16.98,-24.83,57.4,36,0,9.4
281,Tandil,AR,1590273002,-59.13,-37.32,50.0,66,67,1.01
282,Olafsvik,IS,1590273237,-23.71,64.89,48.18,64,47,6.67
283,Port Blair,IN,1590273237,92.75,11.67,82.51,78,100,6.71
284,Castries,LC,1590273237,-61.01,14.0,84.2,69,20,10.29
285,Chumikan,RU,1590273237,135.31,54.72,41.2,73,77,1.23
286,Ban Nahin,LA,1590273237,104.21,18.24,74.89,92,100,3.65
287,Villa Carlos Paz,AR,1590273237,-64.5,-31.42,54.0,56,0,5.82
288,Norman Wells,CA,1590273237,-126.83,65.28,64.4,39,20,10.29
289,Rio Grande,BR,1590273237,-52.1,-32.03,60.01,99,100,5.99
290,Hobyo,SO,1590273237,48.53,5.35,83.14,68,1,24.45
291,Hambantota,LK,1590273237,81.12,6.12,81.64,82,98,16.64
292,Samarai,PG,1590273237,150.67,-10.62,79.41,88,92,13.11
293,Tual,ID,1590273237,132.75,-5.67,82.35,82,98,24.09
294,Esmeraldas,BR,1590273238,-44.31,-19.76,73.4,73,61,4.7
295,Keti Bandar,PK,1590273238,67.45,24.14,82.87,79,0,17.18
296,Miyako,JP,1590273238,141.95,39.64,63.48,76,1,2.77
297,Vardø,NO,1590273238,31.11,70.37,44.22,79,48,15.57
